출처,직군,검색어,공고 이름,회사 이름,회사 위치,마감일,링크,점수,워치리스트
LinkedIn,애널리스트,Analyst,Commerce Business Analyst (글로벌),MUSINSA 무신사,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/commerce-business-analyst-%EA%B8%80%EB%A1%9C%EB%B2%8C-at-musinsa-%EB%AC%B4%EC%8B%A0%EC%82%AC-4408731488,30,FALSE
LinkedIn,애널리스트,Analyst,"Research Analyst, AI Hardware & System Performance",SemiAnalysis,대한민국,,https://kr.linkedin.com/jobs/view/research-analyst-ai-hardware-system-performance-at-semianalysis-4448160534,30,FALSE
LinkedIn,애널리스트,Analyst,Media Search Analyst 재택근무 파트타임,TELUS Digital,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/media-search-analyst-%EC%9E%AC%ED%83%9D%EA%B7%BC%EB%AC%B4-%ED%8C%8C%ED%8A%B8%ED%83%80%EC%9E%84-at-telus-digital-4445921559,30,FALSE
LinkedIn,애널리스트,Analyst,Business Analyst(타임세일),(주)우아한형제들 (Woowa Bros.),서울,,https://kr.linkedin.com/jobs/view/business-analyst-%ED%83%80%EC%9E%84%EC%84%B8%EC%9D%BC-at-%EC%A3%BC-%EC%9A%B0%EC%95%84%ED%95%9C%ED%98%95%EC%A0%9C%EB%93%A4-woowa-bros-4414184077,30,FALSE
LinkedIn,애널리스트,Analyst,[쿠팡] 비즈니스 분석가(Business Analyst_Retail Finance),Coupang,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/%EC%BF%A0%ED%8C%A1-%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4-%EB%B6%84%EC%84%9D%EA%B0%80-business-analyst-retail-finance-at-coupang-4439138679,30,FALSE
LinkedIn,애널리스트,Equity Research,Quantitative Trader - Equities,IMC Trading,서울,,https://kr.linkedin.com/jobs/view/quantitative-trader-equities-at-imc-trading-4382279073,30,FALSE
LinkedIn,애널리스트,Equity Research,"Research Analyst, Memory Markets",SemiAnalysis,대한민국,,https://kr.linkedin.com/jobs/view/research-analyst-memory-markets-at-semianalysis-4448153251,30,FALSE
LinkedIn,애널리스트,Equity Research,Finance Specialist - Fully Remote | Upto $80/hr,Mercor,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/finance-specialist-fully-remote-upto-%2480-hr-at-mercor-4431465509,30,FALSE
LinkedIn,애널리스트,Equity Research,"Research Analyst, Memory Technology",SemiAnalysis,대한민국,,https://kr.linkedin.com/jobs/view/research-analyst-memory-technology-at-semianalysis-4448167407,30,FALSE
LinkedIn,애널리스트,Equity Research,Korean Finance Expert - Research,Mercor,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/korean-finance-expert-research-at-mercor-4431468578,30,FALSE
LinkedIn,애널리스트,Equity Research,Finance Specialist - AI Trainer,Mercor,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/finance-specialist-ai-trainer-at-mercor-4430311614,30,FALSE
LinkedIn,애널리스트,Equity Research,"Associate, Client Solutions (corporate)",GLG (Gerson Lehrman Group),서울,,https://kr.linkedin.com/jobs/view/associate-client-solutions-corporate-at-glg-4428798630,30,FALSE
LinkedIn,애널리스트,크레딧,[쿠팡페이] 자금담당자,Coupang Pay,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/%EC%BF%A0%ED%8C%A1%ED%8E%98%EC%9D%B4-%EC%9E%90%EA%B8%88%EB%8B%B4%EB%8B%B9%EC%9E%90-at-coupang-pay-4442944005,30,FALSE
LinkedIn,컨설팅,전략컨설팅,MD사업전략/개발 담당자 (주니어),CJ OLIVE YOUNG,서울,,https://kr.linkedin.com/jobs/view/md%EC%82%AC%EC%97%85%EC%A0%84%EB%9E%B5-%EA%B0%9C%EB%B0%9C-%EB%8B%B4%EB%8B%B9%EC%9E%90-%EC%A3%BC%EB%8B%88%EC%96%B4-at-cj-olive-young-4446317350,20,FALSE
LinkedIn,AI,AI,Ex-MBB Strategy Consultant - AI Training (Remote),Mindrift,대한민국,,https://kr.linkedin.com/jobs/view/ex-mbb-strategy-consultant-ai-training-remote-at-mindrift-4448146797,20,FALSE
LinkedIn,AI,AI,AI Training Specialist,Alignerr,대한민국,,https://kr.linkedin.com/jobs/view/ai-training-specialist-at-alignerr-4448118902,20,FALSE
LinkedIn,AI,AI,Data Scientist - Remote,YO IT Consulting,서울,,https://kr.linkedin.com/jobs/view/data-scientist-remote-at-yo-it-consulting-4438971252,20,FALSE
LinkedIn,AI,AI,Data Scientist,Bain & Company,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/data-scientist-at-bain-company-4358131701,50,TRUE
LinkedIn,AI,AI,AI Engineer - Remote,YO IT Consulting,서울,,https://kr.linkedin.com/jobs/view/ai-engineer-remote-at-yo-it-consulting-4433629801,20,FALSE
LinkedIn,AI,AI,Machine Learning Engineer,Superb AI Inc.,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/machine-learning-engineer-at-superb-ai-inc-4366984473,20,FALSE
LinkedIn,AI,AI,[대기업 자회사] AI Engineer(AX/DX),에버브레인써치 EverBrain Search,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/%EB%8C%80%EA%B8%B0%EC%97%85-%EC%9E%90%ED%9A%8C%EC%82%AC-ai-engineer-ax-dx-at-%EC%97%90%EB%B2%84%EB%B8%8C%EB%A0%88%EC%9D%B8%EC%8D%A8%EC%B9%98-everbrain-search-4437365882,20,FALSE
LinkedIn,AI,AI,AI Scientist,HITS,"서울, 대한민국",,https://kr.linkedin.com/jobs/view/ai-scientist-at-hits-4420248941,20,FALSE
