검색어,공고 이름,회사 이름,회사 위치,연봉,경력/학력,근무형태,게시일,마감일,링크,직군
M&A,투자 M&A 전문가,(주)휴먼디지탈,서울 서초구,회사내규에 따름,경력5년 대졸(4년),주5일,,2026-08-09,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2607100000882&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,IBD
M&A,여행사 골프 해외 여행 골프장 M&A 컨설팅 골프회원권 사무직,(주)골프트립코리아,경기 고양시 덕양구 등,"연봉 3,600 만원 ~ 3,600 만원",경력무관 학력무관,,,2026-07-17,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54404205&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,IBD
M&A,전략·재무자문부문 Deal3 (M&A) 정규전환형 인턴,한영회계법인,서울 영등포구,회사내규에 따름,경력무관 대졸(4년),,,2026-07-16,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=560200&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,IBD
M&A,M&A본부 경력직(연봉계약직) 채용,KB증권,서울 영등포구,회사내규에 따름,경력무관 대졸(4년),,,2026-07-24,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=560704&infoTypeCd=CAT&infoTypeGroup=tb_workinfogubun,IBD
M&A,ESS PCS A/S 및 O&M (유지관리&보수) 경력자 모집,(주)청우기술단,전남광주통합특별시 영암군 독천로,"연봉 4,000 만원 ~ 5,000 만원",경력1년 학력무관,주5일 주 40시간 근로 08:00 ~ 17:00,,2026-08-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K162122607030016&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,IBD
M&A,중견화학기업 M&A전략담당 차 부장급 채용,주)유연에이치알,전남광주,회사내규에 따름,경력14년 대졸(4년),,,2026-07-31,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2606140000127&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun,IBD
M&A,[딜로이트 안진회계법인] 경영자문부문 M&A1 경력직,안진회계법인,서울 영등포구,회사내규에 따름,경력2년 대졸(4년),,,2026-07-30,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54086790&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,IBD
M&A,[딜로이트 안진회계법인] 경영자문부문 M&A 2 경력직,안진회계법인,서울 영등포구,회사내규에 따름,신입/경력1년 대졸(4년),,,2026-07-16,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=54086846&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,IBD
M&A,[계약직] (주)해빗팩토리 CorpDev팀 일본 법인 설립 및 M&...,(주)해빗팩토리,서울 강남구,회사내규에 따름,경력무관 학력무관,주5일,,2026-07-25,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=53989425&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun,IBD
M&A,기업성장 프로젝트 인재 및 M&A Biz Development 채용,나라오름 주식회사,전북특별자치도 익산시 선화로1길,"시급 12,500 원 ~ 12,500 원",경력무관 학력무관,주5일 09:00 ~ 18:00,,2026-07-17,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21712605180002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,IBD
